nome;frequencia;no_casos
MARTINI;31;1
PATRICIO;31;1
PRATA;31;1
ADAO;30;1
ANSELMO;30;1
ANUNCIACÂ¦O;30;1
APOLINARIO;30;1
BIANCHI;30;1
BRASILEIRA;30;1
CLAUDINO;30;1
EMILIA;30;1
FIE;30;1
FORTUNATO;30;1
GONZALES;30;1
LUZIA;30;1
PAIXÂ¦O;30;1
SEVERO;30;1
VIUVA;30;1
AGOSTINHO;29;1
ALEIXO;29;1
ALEXANDRINA;29;1
BAHIA;29;1
FIALHO;29;1
FLORIANO;29;1
LAGE;29;1
MANTOVANI;29;1
MARCOLINO;29;1
RABELLO;29;1
SARTORI;29;1
SENNA;29;1
VITOR;29;1
DONATO;28;1
FURLAN;28;1
MAGDALENA;28;1
MARCIANO;28;1
PARREIRA;28;1
ROMANA;28;1
ROZA;28;1
SERRANO;28;1
BALBINO;27;1
BASSO;27;1
CIPRIANO;27;1
CRISPIM;27;1
DIOGO;27;1
DIONISIO;27;1
FLOR;27;1
FLORENTINO;27;1
FROES;27;1
HERNANDES;27;1
INACIA;27;1
MALAQUIAS;27;1
MARCAL;27;1
MEDINA;27;1
NEGREIROS;27;1
NEPOMUCENO;27;1
NICOLAU;27;1
PORTUGAL;27;1
ASSUNCÂ¦O;26;1
AZEREDO;26;1
BARBARA;26;1
BENEVIDES;26;1
HENRIQUES;26;1
IGNORADOS;26;1
MAXIMO;26;1
PALMEIRA;26;1
PENTEADO;26;1
QUINTANILHA;26;1
BARBIERI;25;1
BENTA;25;1
CASAGRANDE;25;1
CONTI;25;1
DAMACENO;25;1
EDUARDO;25;1
GALLO;25;1
GERMANO;25;1
MARCOS;25;1
MORGADO;25;1
PROCOPIO;25;1
ROMERO;25;1
VASQUES;25;1
AMPARO;24;1
BERNARDI;24;1
CAIRES;24;1
EVARISTO;24;1
FRANÂ¦A;24;1
LEONEL;24;1
MARCELINA;24;1
PESTANA;24;1
PURIFICACAO;24;1
RAPOSO;24;1
SALOMAO;24;1
TAVEIRA;24;1
CIRILO;23;1
ESTEVAO;23;1
IZIDORO;23;1
JULIO;23;1
MAFRA;23;1
MALTA;23;1
MARTINELLI;23;1
MIRA;23;1
NARCISO;23;1
PIVA;23;1
PONTE;23;1
PORFIRIO;23;1
QUARESMA;23;1
RAFAEL;23;1
SANTANNA;23;1
SARDINHA;23;1
SEABRA;23;1
SERPA;23;1
UCHOA;23;1
AYRES;22;1
BALBINA;22;1
BRANDÂ¦O;22;1
CALADO;22;1
CANTO;22;1
CLARO;22;1
DASILVA;22;1
DASILVA;22;1
EUGENIO;22;1
FAUSTINA;22;1
FEITOZA;22;1
FERMINO;22;1
GERALDA;22;1
GONZALEZ;22;1
JESUZ;22;1
LEONARDO;22;1
LOUZADA;22;1
MANHAES;22;1
MORALES;22;1
MORETTI;22;1
NAVES;22;1
ORTEGA;22;1
PARANHOS;22;1
PARENTE;22;1
PASCHOAL;22;1
TOSTA;22;1
VALADARES;22;1
VALIM;22;1
ZAGO;22;1
ARCANJO;21;1
ATAIDE;21;1
BARRA;21;1
BECKER;21;1
BRASILEI;21;1
CONTE;21;1
FRAZAO;21;1
GERTRUDES;21;1
HOFFMANN;21;1
LUCA;21;1
MACENA;21;1
NARDI;21;1
NERI;21;1
PASCOAL;21;1
PORTELLA;21;1
REBELO;21;1
ROZARIO;21;1
SALAZAR;21;1
THEODORO;21;1
VILHENA;21;1
ZEFERINO;21;1
BELLO;20;1
BREDA;20;1
CARREIRA;20;1
CATARINA;20;1
COLOMBO;20;1
CRESPO;20;1
DUQUE;20;1
GABRIELA;20;1
GUTIERREZ;20;1
JERONIMO;20;1
JORDAO;20;1
LOIOLA;20;1
MARCHI;20;1
MATTA;20;1
NOVA;20;1
OLVEIRA;20;1
PADUA;20;1
PAIM;20;1
PONCIANO;20;1
RAYMUNDO;20;1
ROMEIRO;20;1
SATO;20;1
SEVERINA;20;1
VARELA;20;1
VILLELA;20;1
YAMAMOTO;20;1
ZAMPIERI;20;1
ALVAREZ;19;1
ANGELA;19;1
BOAVENTURA;19;1
CAMILLO;19;1
CELESTINA;19;1
CONRADO;19;1
CRISTINA;19;1
DORNELES;19;1
ESTEVAM;19;1
FEIJO;19;1
FERNANDEZ;19;1
FRAGOSO;19;1
FROTA;19;1
GONDIM;19;1
LADEIRA;19;1
LAR;19;1
LUCINDA;19;1
LUSTOSA;19;1
MADUREIRA;19;1
MARINO;19;1
NEIVA;19;1
PENNA;19;1
QUEVEDO;19;1
REGIS;19;1
RICCI;19;1
THEREZA;19;1
TREVISAN;19;1
WANDERLEY;19;1
WEBER;19;1
ZANELLA;19;1
ADRIANO;18;1
AFFONSO;18;1
BARONI;18;1
BESERRA;18;1
COCEICAO;18;1
CONCEICO;18;1
CONDE;18;1
DAMAZIO;18;1
FATIMA;18;1
FEREIRA;18;1
GUILHERMINA;18;1
HELENA;18;1
IGNORADA;18;1
ITALIANA;18;1
MARIN;18;1
NONATO;18;1
OLIVA;18;1
PIO;18;1
ROGERIO;18;1
RUAS;18;1
RUSSO;18;1
SOCORRO;18;1
TIBURCIO;18;1
VALENCA;18;1
VALENTIN;18;1
VERISSIMO;18;1
ZANETTI;18;1
ADELAIDE;17;1
AGUILAR;17;1
ALVIM;17;1
BASSI;17;1
BERALDO;17;1
CABRERA;17;1
CAMELO;17;1
CESARIO;17;1
CEZARIO;17;1
CREPALDI;17;1
CUSTODIA;17;1
DURAN;17;1
ESPIRITO;17;1
ESTRELA;17;1
FABIANO;17;1
FAVARO;17;1
FELIPPE;17;1
FIUZA;17;1
FRUTUOSO;17;1
GRACIANO;17;1
GRANDE;17;1
HONORIA;17;1
JUNIOR;17;1
JUSTINA;17;1
KLEIN;17;1
LAUREANO;17;1
LONGO;17;1
LUIS;17;1
MATILDE;17;1
MAXIMIANO;17;1
OLIMPIO;17;1
POMPEU;17;1
