nome;frequencia;no_casos
SAITO;11;1
SALOME;11;1
SANTI;11;1
SANTINI;11;1
SATURNINO;11;1
SCHERER;11;1
SILV;11;1
SUZUKI;11;1
TITO;11;1
TONELLI;11;1
TOSCANO;11;1
TRISTAO;11;1
VELOZO;11;1
VENTURINI;11;1
VICTORINO;11;1
WALTER;11;1
YAMADA;11;1
ZANATTA;11;1
ALBANO;10;1
ALBERTO;10;1
AMARANTE;10;1
ASILVA;10;1
AVELINA;10;1
BALDUINO;10;1
BELLINI;10;1
BEM;10;1
BENETTI;10;1
BENFICA;10;1
BENTES;10;1
BERTI;10;1
BERTINI;10;1
BIANCHINI;10;1
BICALHO;10;1
BONIN;10;1
BULHOES;10;1
CARREIRO;10;1
CASTELO;10;1
CASTILHOS;10;1
CAVALARI;10;1
CIRIACO;10;1
CLEMENTINA;10;1
COCNEICÂ¦O;10;1
DAVI;10;1
DESOUZA;10;1
DORNELAS;10;1
DURAES;10;1
EUZEBIO;10;1
FARINA;10;1
FELISBINO;10;1
FERRAO;10;1
FIRMINA;10;1
FISCHER;10;1
FRIAS;10;1
GADELHA;10;1
GENARO;10;1
GENEROSA;10;1
GERVASIO;10;1
GLARIA;10;1
HADDAD;10;1
HERRERA;10;1
INFORMOU;10;1
ISIDORO;10;1
ITO;10;1
JACQUES;10;1
JUNG;10;1
JUVENCIO;10;1
KOBAYASHI;10;1
KUHN;10;1
LAVOR;10;1
LELIS;10;1
LEONI;10;1
MARANGONI;10;1
MARCOLINA;10;1
MARCON;10;1
MEDRADO;10;1
MEYER;10;1
MICHEL;10;1
MONTES;10;1
NATAL;10;1
NICOLETTI;10;1
OLIVIA;10;1
ONOFRE;10;1
PACIFICO;10;1
PALHANO;10;1
PASTOR;10;1
PAVAO;10;1
PEGORARO;10;1
PICANCO;10;1
PITTA;10;1
POLICARPO;10;1
PRIETO;10;1
REAL;10;1
RIBEIRA;10;1
RODRIGUEZ;10;1
ROSAS;10;1
ROSSETTO;10;1
RUFINA;10;1
SALGUEIRO;10;1
SANTA;10;1
SNTOS;10;1
SPERANDIO;10;1
TIAGO;10;1
VANDERLEY;10;1
VASCO;10;1
VELHO;10;1
VERONEZI;10;1
VILLA;10;1
WEISS;10;1
WOLFF;10;1
ZANON;10;1
ABDALA;9;1
ABRAO;9;1
ACOSTA;9;1
ADORNO;9;1
AGUIRRE;9;1
ALFREDO;9;1
AMBROZIO;9;1
ANTOS;9;1
ATHAYDE;9;1
BALDINI;9;1
BASTO;9;1
BECK;9;1
BELCHIOR;9;1
BERGER;9;1
BERTO;9;1
BIANCO;9;1
BORDIN;9;1
BRANDINO;9;1
BRASI;9;1
BRESSAN;9;1
CAMPANHA;9;1
CANEDO;9;1
CARLI;9;1
CARPES;9;1
CARRARA;9;1
CARRARO;9;1
CASTELLO;9;1
CECILIO;9;1
CHIARELLI;9;1
CIRQUEIRA;9;1
CORDOVIL;9;1
CORNELIO;9;1
CRISOSTOMO;9;1
CYPRIANO;9;1
DACONCEICAO;9;1
DEMETRIO;9;1
ESPERANCA;9;1
ESTEVO;9;1
FACHINI;9;1
FELISBERTO;9;1
FLAUSINO;9;1
FLAUZINA;9;1
FORTUNA;9;1
FRANCELINO;9;1
GALLI;9;1
GERONIMO;9;1
GOMEZ;9;1
GONSALVES;9;1
GRECCO;9;1
GROSS;9;1
GUIMARES;9;1
ILVA;9;1
INEZ;9;1
KNUPP;9;1
LANG;9;1
LAZARINI;9;1
LEONARDI;9;1
LEONCIO;9;1
LEONE;9;1
LEONOR;9;1
LOCATELLI;9;1
LOURES;9;1
LOZANO;9;1
LUNARDI;9;1
MARCHETTI;9;1
MARCHIORI;9;1
MARTHA;9;1
MERCEDES;9;1
MOLINARI;9;1
NAZARET;9;1
NICACIO;9;1
NOVO;9;1
OLIVERIA;9;1
OLVIEIRA;9;1
PAI;9;1
PAIS;9;1
PALERMO;9;1
PALHETA;9;1
PASCHOA;9;1
PELLEGRINI;9;1
POVOA;9;1
PRUDENCIO;9;1
QUINTANA;9;1
REBOUCAS;9;1
