nome;frequencia;no_casos
VALDOMIRA;65;1
ALDENORA;64;1
EDINA;64;1
ESMERALDINA;64;1
JORDELINA;64;1
OSVALDINA;64;1
OTTILIA;64;1
ANTONIETTA;63;1
CONSTANTINA;63;1
DIOLINA;63;1
EDILEUZA;63;1
ELENICE;63;1
ESTEFANIA;63;1
GONCALA;63;1
HELOISA;63;1
MARLUCE;63;1
OTAVIA;63;1
ERICA;62;1
ESTELINA;62;1
JANE;62;1
JOAQUIM;62;1
LENI;62;1
TELMA;62;1
ZORAIDE;62;1
ABADIA;61;1
ANDREZA;61;1
BRAZILINA;61;1
CESARINA;61;1
CEZARINA;61;1
ELIZIA;61;1
IDALIA;61;1
JOSE;61;1
JUVINA;61;1
LINDA;61;1
TERTULIANA;61;1
ASSUNTA;60;1
EDUARDA;60;1
GILDETE;60;1
IGNES;60;1
NICOLINA;60;1
OSMARINA;60;1
TOMAZIA;60;1
ALCIDIA;59;1
ALTAMIRA;59;1
AMANDA;59;1
CLELIA;59;1
ELZIRA;59;1
FLORIZA;59;1
FORTUNATA;59;1
GENESIA;59;1
IEDA;59;1
JANDYRA;59;1
OSCARINA;59;1
SYLVIA;59;1
ALBA;58;1
CORNELIA;58;1
EURIDICE;58;1
IONE;58;1
JTLIA;58;1
LIGIA;58;1
MANUELA;58;1
NARCISA;58;1
SILVERIA;58;1
LUCIMAR;57;1
SOPHIA;57;1
VIVIANE;57;1
FRIDA;56;1
GERACINA;56;1
GESSI;56;1
JANAINA;56;1
NAZARETH;56;1
VENINA;56;1
BERTULINA;55;1
IVANETE;55;1
JULITA;55;1
MARIANNA;55;1
NOEMI;55;1
ZAIRA;55;1
BERTHA;54;1
DINORAH;54;1
PORFIRIA;54;1
TATIANE;54;1
VITORINA;54;1
ZELITA;54;1
ADOLFINA;53;1
DARCY;53;1
FLAUSINA;53;1
LUDOVINA;53;1
PIEDADE;53;1
ADILIA;52;1
ASSUMPTA;52;1
FELIPA;52;1
MIGUELINA;52;1
THERESA;52;1
ARMELINDA;51;1
GASPARINA;51;1
HERONDINA;51;1
