nome;frequencia;no_casos
CATHARINA;34;1
CLEONICE;34;1
DIVA;34;1
ELIZABETH;34;1
EUFRASIA;34;1
IRACI;34;1
JOSEPHA;34;1
LUCENA;34;1
MAXIMA;34;1
RAYMUNDA;34;1
RIOS;34;1
ROLIM;34;1
VILMA;34;1
ZACARIAS;34;1
BOA;33;1
BOAS;33;1
CARDOZO;33;1
CAVALHEIRO;33;1
COIMBRA;33;1
DIONIZIA;33;1
EUGENIO;33;1
EUZEBIA;33;1
FLORENTINO;33;1
GOUVEA;33;1
REGIS;33;1
SEIXAS;33;1
VALLE;33;1
ANSELMO;32;1
ARAGAO;32;1
ASSUMPCAO;32;1
CHRISTINA;32;1
GENOVEVA;32;1
IOLANDA;32;1
LAURENTINO;32;1
LOBATO;32;1
NATALIA;32;1
ORTIZ;32;1
PATROCINIA;32;1
SACRAMENTO;32;1
VIEGAS;32;1
ARC;31;1
ARCANJA;31;1
BESERRA;31;1
DELGADO;31;1
DELLA;31;1
EDUARDO;31;1
ELIANE;31;1
EVARISTO;31;1
FLAUSINA;31;1
JOVITA;31;1
LA;31;1
LUCIO;31;1
MADEIRA;31;1
MENESES;31;1
OSORIO;31;1
PORFIRIO;31;1
RICARDA;31;1
SARMENTO;31;1
THEREZINHA;31;1
VARELA;31;1
VILA;31;1
ALAIDE;30;1
APDA;30;1
BERNADINA;30;1
BIBIANA;30;1
CASSIMIRA;30;1
CINTRA;30;1
DOURADO;30;1
FORTUNATA;30;1
GENI;30;1
GEORGINA;30;1
IZIDORA;30;1
JOAO;30;1
MEDINA;30;1
MOLINA;30;1
NERIS;30;1
NILDA;30;1
PETRONILHA;30;1
PIO;30;1
ROSALIA;30;1
SALGADO;30;1
SALVADOR;30;1
SILVANA;30;1
TORQUATO;30;1
AGOSTINHA;29;1
ALVINA;29;1
ARCANJO;29;1
ARLETE;29;1
BENICIO;29;1
BITENCOURT;29;1
BOAVENTURA;29;1
CLARO;29;1
FORTES;29;1
GERONIMO;29;1
GUSMAO;29;1
HENRIQUETA;29;1
HERNANDES;29;1
ILDA;29;1
INÂ¦CIA;29;1
INOCENCIO;29;1
JUNQUEIRA;29;1
LEONTINA;29;1
MARCIANO;29;1
MASCARENHAS;29;1
MAURA;29;1
SOLANGE;29;1
TERRA;29;1
THEODORO;29;1
VERISSIMO;29;1
ZULEIDE;29;1
APOLINARIO;28;1
ARLINDA;28;1
BELEM;28;1
CANUTO;28;1
CORR;28;1
DONIZETE;28;1
ENCARNACAO;28;1
FALCAO;28;1
FOGACA;28;1
GUIOMAR;28;1
LAUDELINA;28;1
LIBANIA;28;1
MONICA;28;1
NAVARRO;28;1
ODILIA;28;1
ROMUALDO;28;1
TIMA;28;1
AMBROSIO;27;1
BRUM;27;1
CASSIANA;27;1
CEZARIO;27;1
CRISPIM;27;1
DINA;27;1
DIONISIO;27;1
EUG;27;1
EUZEBIO;27;1
FRAZAO;27;1
GIMENEZ;27;1
MUNHOZ;27;1
PALMA;27;1
PENTEADO;27;1
PROCOPIO;27;1
REMEDIOS;27;1
TOBIAS;27;1
TOMASIA;27;1
VITA;27;1
ADAO;26;1
AGDA;26;1
AMANCIA;26;1
AMERICO;26;1
CLARICE;26;1
CLEIDE;26;1
CORINA;26;1
CRISTIANE;26;1
DIOGO;26;1
FELIPA;26;1
GRACIANA;26;1
MARCOLINO;26;1
MARTHA;26;1
MATHEUS;26;1
MAXIMINA;26;1
PARREIRA;26;1
ROMERO;26;1
VERAS;26;1
VICENCA;26;1
VIRGEM;26;1
ANANIAS;25;1
AURELIA;25;1
CIRILO;25;1
COSMO;25;1
ELISABETE;25;1
EMIDIA;25;1
FIALHO;25;1
FIUZA;25;1
JANDIRA;25;1
LEANDRA;25;1
MALTA;25;1
NADIR;25;1
NARCISO;25;1
OLIMPIO;25;1
PEDRA;25;1
PORCINA;25;1
QUINTINO;25;1
QUIRINA;25;1
SELMA;25;1
STELLA;25;1
SUZANA;25;1
TARGINO;25;1
THOMAZ;25;1
VASCONCELLOS;25;1
ALCINA;24;1
APOLONIA;24;1
BRASILEIRO;24;1
CEZARIA;24;1
DALLA;24;1
FELISBELA;24;1
FERNANDEZ;24;1
GILDA;24;1
HILARIO;24;1
HONORINA;24;1
JARDELINA;24;1
JUSTA;24;1
JUVENTINA;24;1
MARTIN;24;1
PALMIRA;24;1
PASCOAL;24;1
PERCILIANA;24;1
PURCINA;24;1
PURIFICACAO;24;1
QUADROS;24;1
REJANE;24;1
SALUSTIANA;24;1
SILVINO;24;1
TERTULIANA;24;1
TIBURCIO;24;1
TIMOTEO;24;1
VASQUES;24;1
VILLAS;24;1
ALVAREZ;23;1
BASILIA;23;1
CALIXTA;23;1
DIRCE;23;1
DIVINO;23;1
DUQUE;23;1
EMERENCIANA;23;1
ESTELITA;23;1
FABIANA;23;1
FEIJO;23;1
FELIZARDA;23;1
FERNANDO;23;1
FERRO;23;1
FURLAN;23;1
GUIMARÂ¦ES;23;1
HERCULANO;23;1
JORDAO;23;1
JULIAO;23;1
LAGO;23;1
LEONILDA;23;1
LETICIA;23;1
MORALES;23;1
OLYMPIA;23;1
PEDRINA;23;1
PESTANA;23;1
PIA;23;1
PRATA;23;1
QUARESMA;23;1
RAPOSO;23;1
SEBASTIAO;23;1
TERTULINA;23;1
XIMENES;23;1
ALBERTO;22;1
BESSA;22;1
CONCEBIDA;22;1
DORALICE;22;1
ERCILIA;22;1
ESMERALDA;22;1
FEREIRA;22;1
FERMINA;22;1
FONTOURA;22;1
GODINHO;22;1
GONSALVES;22;1
GRACIANO;22;1
HORTENCIA;22;1
JACINTHA;22;1
JOSEPHINA;22;1
JUDITE;22;1
JUREMA;22;1
JUVINA;22;1
LEITAO;22;1
LUNA;22;1
MADUREIRA;22;1
MOISES;22;1
NEIVA;22;1
NORBERTO;22;1
ONOFRE;22;1
OSORIA;22;1
PETRONILIA;22;1
POMPEU;22;1
ADALGISA;21;1
AGRIPINA;21;1
ALEXANDRA;21;1
ANDREIA;21;1
BASSO;21;1
BLANCO;21;1
BRANDINA;21;1
CIRILA;21;1
CONSOLACAO;21;1
CORTEZ;21;1
ELOY;21;1
EPIFANIA;21;1
ESPINDOLA;21;1
GUALBERTO;21;1
HORACIO;21;1
IGNES;21;1
IZIDORO;21;1
IZOLINA;21;1
LOUZADA;21;1
MACENA;21;1
MEIRELLES;21;1
NETA;21;1
NORONHA;21;1
PANTOJA;21;1
REINALDO;21;1
ROGERIO;21;1
ROSE;21;1
SERGIO;21;1
SEVERA;21;1
SOBREIRA;21;1
SUELY;21;1
THERESA;21;1
AFFONSO;20;1
ANICETA;20;1
ATAIDE;20;1
AURELINA;20;1
BENITES;20;1
CAMPELO;20;1
CIRINO;20;1
COLOMBO;20;1
CONSUELO;20;1
COSMA;20;1
CREUSA;20;1
DIONIZIO;20;1
DONATA;20;1
ERMINIA;20;1
GUERREIRO;20;1
IVONETE;20;1
IZALTINA;20;1
JACOB;20;1
JUSTO;20;1
LEDA;20;1
LEONARDA;20;1
LIBERATO;20;1
LIMEIRA;20;1
MÂ¦;20;1
MEIRE;20;1
NARCISA;20;1
NOEMIA;20;1
OLIVA;20;1
ONOFRA;20;1
PASCHOAL;20;1
PESSANHA;20;1
RIO;20;1
SENNA;20;1
SOBRAL;20;1
