nome;frequencia;no_casos
MARCONDES;79;1
PATRICIO;79;1
IGNACIO;78;1
VELOSO;78;1
EMILIO;77;1
GOES;77;1
LUISA;77;1
MARCAL;77;1
AILTON;76;1
ASSUNCAO;76;1
CRISTIANO;76;1
MOISES;76;1
RONALDO;76;1
VILELA;76;1
VITAL;76;1
ARCANJO;75;1
BRASIL;75;1
EMIDIO;75;1
HUGO;75;1
LEAO;75;1
PAULINA;75;1
TERESINHA;75;1
AIRES;74;1
DI;74;1
REGO;74;1
RESENDE;74;1
ANNA;73;1
ARNALDO;73;1
AVILA;73;1
BASILIO;73;1
BONIFACIO;73;1
NOVAES;73;1
PRAZERES;73;1
RABELO;73;1
ALEIXO;72;1
DOLORES;72;1
ERNESTO;72;1
PADILHA;72;1
SILVINO;72;1
VALERIA;72;1
ADAO;71;1
GASPAR;71;1
VEIGA;71;1
BOTELHO;70;1
RUBENS;70;1
ANSELMO;69;1
DIONISIO;69;1
FELICIO;69;1
MATHEUS;69;1
NICOLAU;69;1
CATARINA;68;1
FRAGA;68;1
GOUVEIA;68;1
LARA;68;1
NERY;68;1
PINHO;68;1
ESTEVAO;67;1
THEREZA;67;1
AIRTON;66;1
ARATJO;66;1
CASTILHO;66;1
CIPRIANO;66;1
DALVA;66;1
DIOGO;66;1
LAURA;66;1
LOBO;66;1
NERI;66;1
TRAJANO;66;1
ABADIA;65;1
DIVINO;65;1
EVARISTO;65;1
FORTUNATO;65;1
GODOY;65;1
MARCIANO;65;1
ALVARENGA;64;1
DELFINO;64;1
FLORIANO;64;1
NOBRE;64;1
SALLES;64;1
SOUTO;64;1
WAGNER;64;1
ELENA;63;1
JARDIM;63;1
PEREZ;63;1
CASSIMIRO;62;1
DARC;62;1
DONIZETTI;62;1
THEODORO;62;1
VICTORIA;62;1
ALEXANDRINA;61;1
BORBA;61;1
CAROLINE;61;1
FIDELIS;61;1
HERCULANO;61;1
ODETE;61;1
PATRICIA;61;1
PEDROSA;61;1
VERISSIMO;61;1
ANUNCIADA;60;1
ARANTES;60;1
CLARO;60;1
DAL;60;1
OSVALDO;60;1
REGINALDO;60;1
ANASTACIO;59;1
QUITERIA;59;1
SUELI;59;1
ZACARIAS;59;1
CALDEIRA;58;1
ESTEVAM;58;1
LEONEL;58;1
MATHIAS;58;1
NAZARETH;58;1
NELSON;58;1
VIANNA;58;1
CESARIO;57;1
FABIANO;57;1
GABRIELA;57;1
GOULART;57;1
NILZA;57;1
TELLES;57;1
FLOR;56;1
PORFIRIO;56;1
VANDERLEI;56;1
ANANIAS;55;1
BRANCO;55;1
IRENE;55;1
QUINTINO;55;1
SERRA;55;1
AURELIANO;54;1
BARCELOS;54;1
CALDAS;54;1
CONSTANTINO;54;1
DIVINA;54;1
DOMINGAS;54;1
IVAN;54;1
PIEDADE;54;1
ADELINO;53;1
GERONIMO;53;1
HOLANDA;53;1
LINA;53;1
LUCENA;53;1
MARCELINA;53;1
SEVERIANO;53;1
TEODORA;53;1
ALEX;52;1
BENICIO;52;1
GUIA;52;1
HILARIO;52;1
IVO;52;1
LAZARO;52;1
MARLENE;52;1
MAXIMO;52;1
PADUA;52;1
ROZA;52;1
SAO;52;1
THOMAZ;52;1
AP;51;1
DAVI;51;1
FRANCELINO;51;1
GONCALO;51;1
INEZ;51;1
LOUREIRO;51;1
NILSON;51;1
TIMOTEO;51;1
VILAS;51;1
ADILSON;50;1
ADRIANA;50;1
BENEDICTO;50;1
DOUGLAS;50;1
ELIZABETH;50;1
LOUDES;50;1
NARCISO;50;1
NOBREGA;50;1
SIMPLICIO;50;1
ZEFERINO;50;1
ZELIA;50;1
AMBROSIO;49;1
ARMANDO;49;1
ARTUR;49;1
BARBARA;49;1
CIRILO;49;1
DIMAS;49;1
GUALBERTO;49;1
MALAQUIAS;49;1
VALE;49;1
ABILIO;48;1
AYRES;48;1
BITTENCOURT;48;1
CELINA;48;1
ELZA;48;1
EUDES;48;1
FÂ¦TIMA;48;1
GUERRA;48;1
SATURNINO;48;1
TIBURCIO;48;1
ARAGAO;47;1
CAMARA;47;1
CARDOZO;47;1
COSMO;47;1
GORETE;47;1
JACOB;47;1
NEUZA;47;1
PRESTES;47;1
RAYMUNDO;47;1
CELESTE;46;1
EDILSON;46;1
FREDERICO;46;1
INOCENCIO;46;1
IZIDORO;46;1
MAGDALENA;46;1
MARTINEZ;46;1
MONTE;46;1
NATAL;46;1
ONOFRE;46;1
PALMEIRA;46;1
PIO;46;1
RUIZ;46;1
VALENTE;46;1
BERTO;45;1
CANUTO;45;1
CASTELO;45;1
CRISTIANE;45;1
FERRARI;45;1
HENRIQUES;45;1
MEIRELES;45;1
NATIVIDADE;45;1
NORBERTO;45;1
OSCAR;45;1
TIAGO;45;1
ZILDA;45;1
