nome;frequencia;no_casos
DASILVA;22;1
DOMICIANO;22;1
FELIPPE;22;1
GARRIDO;22;1
IZIDORO;22;1
LAZARO;22;1
LUSTOSA;22;1
MADALENA;22;1
MARANHAO;22;1
MARIN;22;1
MARINO;22;1
MATTA;22;1
MAXIMIANO;22;1
MORETTI;22;1
NAZARE;22;1
NEGRAO;22;1
PAIXÂ¦O;22;1
PAVAN;22;1
ROSAS;22;1
SILV;22;1
TIBURCIO;22;1
TOSTES;22;1
ALEXANDRINO;21;1
AZAMBUJA;21;1
CESARIO;21;1
CONRADO;21;1
DEMETRIO;21;1
FELISBERTO;21;1
FELIZARDO;21;1
FRANCISCA;21;1
GALINDO;21;1
HILARIO;21;1
LAUREANO;21;1
LAURENTINO;21;1
LEONARDO;21;1
LIBERATO;21;1
LOPEZ;21;1
OLIVA;21;1
ORTEGA;21;1
REGIS;21;1
ROMUALDO;21;1
SERPA;21;1
THOME;21;1
TREVISAN;21;1
URBANO;21;1
VERISSIMO;21;1
VICTORINO;21;1
ZANETTI;21;1
ALECRIM;20;1
AUGUSTA;20;1
BARRA;20;1
BARREIROS;20;1
CAMILLO;20;1
CONDE;20;1
CURY;20;1
DIONIZIO;20;1
GUARNIERI;20;1
MIRA;20;1
PECANHA;20;1
QUINTANILHA;20;1
UCHOA;20;1
ALBERTO;19;1
BACELAR;19;1
BASSI;19;1
CAMACHO;19;1
CANTO;19;1
CLAUDIO;19;1
CRISTO;19;1
DAMAZIO;19;1
FABIANO;19;1
FAVARO;19;1
GENEROSO;19;1
HERCULANO;19;1
MADUREIRA;19;1
MEYER;19;1
MONTENEGRO;19;1
NAKAMURA;19;1
NÂº;19;1
OSORIO;19;1
PASCOAL;19;1
PENNA;19;1
PIEDADE;19;1
PROCOPIO;19;1
QUEVEDO;19;1
RIZZO;19;1
SCHMITT;19;1
SEABRA;19;1
SILVANO;19;1
TIMOTEO;19;1
TRISTAO;19;1
VALENCA;19;1
VARELLA;19;1
VICENTINI;19;1
ZANELLA;19;1
ATHAYDE;18;1
BARONI;18;1
BENEDICTO;18;1
BERTI;18;1
BESERRA;18;1
CASSIMIRO;18;1
CURSINO;18;1
DORIA;18;1
ESCOBAR;18;1
FABRICIO;18;1
FIUZA;18;1
GAIA;18;1
GRANDE;18;1
HIPOLITO;18;1
LEOPOLDINO;18;1
LOIOLA;18;1
LOMBARDI;18;1
LUCA;18;1
MOISES;18;1
MONTES;18;1
NATIVIDADE;18;1
OLVEIRA;18;1
PARRA;18;1
POLICARPO;18;1
PONCIANO;18;1
ROGERIO;18;1
SCHMITZ;18;1
TABORDA;18;1
TEOFILO;18;1
TINOCO;18;1
TOSTA;18;1
VALADAO;18;1
VALIM;18;1
WATANABE;18;1
ZACARIAS;18;1
ABRANTES;17;1
APPARECIDA;17;1
AURELIANO;17;1
AYRES;17;1
BALTAZAR;17;1
BELARMINO;17;1
BELEM;17;1
BELMIRO;17;1
BERTONI;17;1
BRANDÂ¦O;17;1
CAIXETA;17;1
CARMONA;17;1
CASEMIRO;17;1
DURAN;17;1
FELISBINO;17;1
FORTE;17;1
GALVÂ¦O;17;1
MARCO;17;1
MORETTO;17;1
NARCISO;17;1
NERIS;17;1
NOVA;17;1
PEDRA;17;1
POMPEU;17;1
PRUDENTE;17;1
REBELO;17;1
REBOUCAS;17;1
RECH;17;1
ROMEIRO;17;1
SALAZAR;17;1
SERRAO;17;1
SILVINO;17;1
TOLENTINO;17;1
TORQUATO;17;1
VELLOSO;17;1
VITORIO;17;1
WANDERLEY;17;1
YAMAMOTO;17;1
ZAMPIERI;17;1
ABRAHAO;16;1
AMARANTE;16;1
BARREIRO;16;1
BLANCO;16;1
CANUTO;16;1
CIRQUEIRA;16;1
CORNELIO;16;1
DAMASCENA;16;1
FLAUSINO;16;1
GONTIJO;16;1
HORACIO;16;1
JAQUES;16;1
JOAO;16;1
KRUGER;16;1
LANDIM;16;1
MANCINI;16;1
MANSO;16;1
MARCON;16;1
MAYER;16;1
MEDRADO;16;1
MORI;16;1
NOLASCO;16;1
OLIVERIA;16;1
PEDROZO;16;1
QUEIROS;16;1
RUAS;16;1
SAITO;16;1
SANTINI;16;1
TAVEIRA;16;1
ZACHARIAS;16;1
BRAGANCA;15;1
CARUSO;15;1
COLARES;15;1
CONTI;15;1
COSME;15;1
CRESPO;15;1
CRISOSTOMO;15;1
DRUMOND;15;1
FATIMA;15;1
FREDERICO;15;1
FRUTUOSO;15;1
GALHARDO;15;1
GATTI;15;1
GERONIMO;15;1
GRANJA;15;1
GRILO;15;1
HADDAD;15;1
ITO;15;1
JUSTO;15;1
LAPA;15;1
LIVRAMENTO;15;1
MASSON;15;1
MOUTINHO;15;1
NARDI;15;1
NOLETO;15;1
PALERMO;15;1
PAVAO;15;1
PEDREIRA;15;1
PORTES;15;1
RAMIRO;15;1
RODRIGUEZ;15;1
ROMAN;15;1
SATURNINO;15;1
TEXEIRA;15;1
TIAGO;15;1
TRAJANO;15;1
VELASCO;15;1
VILACA;15;1
VILHENA;15;1
WEISS;15;1
ALFREDO;14;1
ALVIM;14;1
AMADOR;14;1
AMPARO;14;1
ANANIAS;14;1
BAIA;14;1
BALIEIRO;14;1
BARREIRA;14;1
BIANCO;14;1
BRAVO;14;1
CAMARGOS;14;1
CAMPANHA;14;1
CANTANHEDE;14;1
CARREIRA;14;1
CONCEI#CO;14;1
CREPALDI;14;1
DAMAS;14;1
DORNELAS;14;1
DORNELLES;14;1
ESTRELA;14;1
EUZEBIO;14;1
FLAUZINO;14;1
FLORINDO;14;1
FONTENELE;14;1
GOBBI;14;1
GUALBERTO;14;1
HIGA;14;1
JEREMIAS;14;1
JUNG;14;1
LAURIANO;14;1
LUZIA;14;1
MADRUGA;14;1
MARCHIORI;14;1
MAURO;14;1
NEGRI;14;1
NEUMANN;14;1
NOVO;14;1
ORLANDO;14;1
