nome;frequencia;no_casos
GILDA;76;1
IRMA;76;1
LINDALVA;76;1
OLAVO;76;1
CLEUZA;75;1
ESMERALDA;75;1
SYLVIO;75;1
CLEITON;74;1
DAMIANA;74;1
DENILSON;74;1
DIOGO;74;1
ELCIO;74;1
GELSON;74;1
RAYMUNDO;74;1
RODOLFO;74;1
ROMEU;74;1
ANGELITA;73;1
HELENO;73;1
LEONTINA;73;1
ROSALIA;73;1
TELMA;73;1
GERMANO;72;1
IRANI;72;1
UBIRAJARA;72;1
ARACY;71;1
EVERTON;71;1
IZAIAS;71;1
MARILDA;71;1
ANSELMO;70;1
EDMAR;70;1
IARA;70;1
ROSILENE;70;1
CAIO;69;1
ELI;69;1
HERMINIA;69;1
JOANNA;69;1
JOSELITO;69;1
LYDIA;69;1
MARIETA;69;1
SABRINA;69;1
SHEILA;69;1
ULISSES;69;1
ALVINA;68;1
ANANIAS;68;1
JOSEPHA;68;1
SANTA;68;1
ALEXANDRINA;67;1
ISAAC;67;1
LEONILDA;67;1
LILIAN;67;1
LINDOMAR;67;1
LUCIANE;67;1
OCTAVIO;67;1
TATIANE;67;1
BIANCA;66;1
DILMA;66;1
EDGARD;66;1
ESTHER;66;1
JACI;66;1
LEVI;66;1
MARILIA;66;1
MICHELE;66;1
SHIRLEY;66;1
CATHARINA;65;1
CLODOALDO;65;1
HERMINIO;65;1
ILZA;65;1
JOSIMAR;65;1
OLINDINA;65;1
PRISCILA;65;1
ROSE;65;1
AROLDO;64;1
FELIX;64;1
LUISA;64;1
MURILO;64;1
NORBERTO;64;1
RAMIRO;64;1
ROSEMARY;64;1
SILVANO;64;1
TATIANA;64;1
VITALINA;64;1
WILMA;64;1
EDINALDO;63;1
ERIVALDO;63;1
HORACIO;63;1
LAURINDO;63;1
MICHEL;63;1
MINERVINA;63;1
ODETTE;63;1
ROBERTA;63;1
THAIS;63;1
ALEXANDRA;62;1
EMIDIO;62;1
EULALIA;62;1
LAUDELINA;62;1
LEA;62;1
OLIMPIO;62;1
RAFAELA;62;1
VALDEMIRO;62;1
WALMIR;62;1
ADAUTO;61;1
CACILDA;61;1
FAUSTO;61;1
IVETE;61;1
JOS#;61;1
JOSEPHINA;61;1
RIVALDO;61;1
RUTE;61;1
SUZANA;61;1
ZACARIAS;61;1
EURICO;60;1
JAILTON;60;1
MARINETE;60;1
MAURILIO;60;1
ONDINA;60;1
CREUSA;59;1
FLORIANO;59;1
FLORISVALDO;59;1
GEORGE;59;1
IVANI;59;1
JORGINA;59;1
ROSARIA;59;1
SILVINO;59;1
VICTORIA;59;1
WANDERLEI;59;1
ANDRESSA;58;1
BERENICE;58;1
EDIMILSON;58;1
GILDO;58;1
HEITOR;58;1
HILARIO;58;1
JARBAS;58;1
JOSENILDO;58;1
LUCINDA;58;1
ROMILDA;58;1
SANTO;58;1
ADALGISA;57;1
CORINA;57;1
DENIS;57;1
ELISABETH;57;1
ENIO;57;1
FIRMINO;57;1
ISOLINA;57;1
LINO;57;1
MALVINA;57;1
MARTINHO;57;1
DALILA;56;1
DANIELE;56;1
DIMAS;56;1
ELIZETE;56;1
GERALDINO;56;1
RENAN;56;1
ALBERTINO;55;1
ELSON;55;1
MARGARETE;55;1
NOEL;55;1
ANESIO;54;1
ARMINDO;54;1
BERNARDINO;54;1
COSMO;54;1
FLORINDA;54;1
GERTRUDES;54;1
HELOISA;54;1
LEONEL;54;1
ROMUALDO;54;1
ROSILDA;54;1
ADENILSON;53;1
ARIOVALDO;53;1
CUSTODIO;53;1
ELPIDIO;53;1
ERNANI;53;1
IRIS;53;1
KELLY;53;1
LAERTE;53;1
ROMULO;53;1
ROSALVO;53;1
SALETE;53;1
TARCISIO;53;1
BALBINA;52;1
DILSON;52;1
IGNEZ;52;1
INGRID;52;1
JOSINA;52;1
JUAN;52;1
LUCI;52;1
NARCISO;52;1
SILAS;52;1
VALDINEI;52;1
WILTON;52;1
ALMIRO;51;1
ALTINO;51;1
ELSA;51;1
ESPEDITO;51;1
HERMES;51;1
JACKSON;51;1
JESSE;51;1
LUCILIA;51;1
MAGDALENA;51;1
MANOELA;51;1
OVIDIO;51;1
PABLO;51;1
SIRLEI;51;1
ADEMILSON;50;1
AURELIANO;50;1
CAETANO;50;1
CARLITO;50;1
DEJANIRA;50;1
EDILENE;50;1
ERASMO;50;1
EVARISTO;50;1
ILMA;50;1
JONATHAN;50;1
JUSTINO;50;1
LEONICE;50;1
MAICON;50;1
NORIVAL;50;1
REGIANE;50;1
ALIPIO;49;1
ANESIA;49;1
ANIBAL;49;1
CATIA;49;1
CELESTINO;49;1
CLOTILDE;49;1
DULCINEIA;49;1
ERMELINDA;49;1
GIOVANA;49;1
INEZ;49;1
IONE;49;1
IVANIR;49;1
JACINTO;49;1
JOS?;49;1
KLEBER;49;1
LINA;49;1
VANDERLEY;49;1
WALDYR;49;1
WANDERSON;49;1
ELTON;48;1
JANDYRA;48;1
JOVINA;48;1
LAUDELINO;48;1
LEONIDAS;48;1
LUAN;48;1
LUCINEIA;48;1
LUCY;48;1
MARILZA;48;1
MARIZA;48;1
MARTHA;48;1
NATAL;48;1
NELI;48;1
RUBEM;48;1
ADÂ¦O;47;1
BRENO;47;1
CAMILO;47;1
CARMELINA;47;1
CASSIA;47;1
CEZAR;47;1
CLEMENTINA;47;1
ELOI;47;1
GERCINA;47;1
INACIA;47;1
ISABELA;47;1
JOVINO;47;1
LEOPOLDINA;47;1
MARISTELA;47;1
OTAVIANO;47;1
ADAILTON;46;1
ALUISIO;46;1
ANIZIO;46;1
BERNADETE;46;1
BERNARDINA;46;1
CASSIO;46;1
CLARINDA;46;1
ILSON;46;1
LIGIA;46;1
ODILIA;46;1
PLINIO;46;1
TADEU;46;1
VALDELICE;46;1
VALDIRENE;46;1
BENTA;45;1
DAIANE;45;1
FLORIPES;45;1
GIVALDO;45;1
HILTON;45;1
REYNALDO;45;1
VITORIO;45;1
WALDEMIRO;45;1
ACACIO;44;1
ALTINA;44;1
ARISTEU;44;1
ATAIDE;44;1
BELMIRO;44;1
DIOGENES;44;1
DORVALINA;44;1
EDUARDA;44;1
EMANUEL;44;1
ERICK;44;1
FLORA;44;1
GEOVANE;44;1
IZOLINA;44;1
JOELMA;44;1
JOSIANE;44;1
LAURENTINA;44;1
LUCILENE;44;1
MARCELINA;44;1
OSNI;44;1
SINVAL;44;1
WALDEMIR;44;1
ALCEBIADES;43;1
ALCINO;43;1
ALTAMIRO;43;1
CIRO;43;1
DURVALINO;43;1
ESTELITA;43;1
GASPAR;43;1
GENILSON;43;1
JOSEMAR;43;1
LEOPOLDO;43;1
RAMON;43;1
ROSINEIDE;43;1
SERAFIM;43;1
VALDEIR;43;1
ALCINA;42;1
ALCINDO;42;1
EDINA;42;1
ELENA;42;1
ELY;42;1
EULINA;42;1
HERCILIA;42;1
IEDA;42;1
JACYRA;42;1
JUSCELINO;42;1
JUSTINA;42;1
MICHAEL;42;1
ORESTES;42;1
PAMELA;42;1
RICHARD;42;1
 ;41;1
AGRIPINO;41;1
ARACI;41;1
ASSIS;41;1
CELESTE;41;1
CINTIA;41;1
GILDETE;41;1
HOMERO;41;1
JOSELITA;41;1
MARTINHA;41;1
OLIMPIA;41;1
PEDRINA;41;1
REJANE;41;1
SABINO;41;1
SYLVIA;41;1
VLADIMIR;41;1
ALBINA;40;1
ALMIRA;40;1
AURELINA;40;1
AURELINO;40;1
BENICIO;40;1
GEOVANA;40;1
GREGORIO;40;1
JESUINO;40;1
JOELSON;40;1
LENI;40;1
MARCIANO;40;1
MARY;40;1
NICOLAU;40;1
ROSINA;40;1
RUAN;40;1
SARAH;40;1
SIMAO;40;1
VICENCIA;40;1
VIVALDO;40;1
WALLACE;40;1
ZENILDA;40;1
CAROLINE;39;1
DORVALINO;39;1
FRANCELINA;39;1
JOCO;39;1
JOVELINO;39;1
JUNIOR;39;1
LINDINALVA;39;1
MAIRA;39;1
MARINO;39;1
MARTINS;39;1
NADIA;39;1
NILCE;39;1
OSORIO;39;1
VALDENIR;39;1
VICTORIO;39;1
AVELINA;38;1
BARTOLOMEU;38;1
DEUSDETE;38;1
DIOMAR;38;1
DONATO;38;1
EDIR;38;1
ELIENE;38;1
ELOISA;38;1
ENI;38;1
FAUSTINO;38;1
FRANKLIN;38;1
GABRIELE;38;1
GIVANILDO;38;1
ITALO;38;1
IVANILDA;38;1
IZALTINA;38;1
JOVITA;38;1
MARI;38;1
MARLON;38;1
MARLUCE;38;1
MAX;38;1
MAYARA;38;1
MILENA;38;1
NANCI;38;1
SILVANIA;38;1
SILVESTRE;38;1
VALDEVINO;38;1
ALISSON;37;1
BENJAMIN;37;1
DAGMAR;37;1
DELFINA;37;1
DINA;37;1
ELIEZER;37;1
ELIZANGELA;37;1
EXPEDITA;37;1
GERCINO;37;1
GIOVANI;37;1
GUMERCINDO;37;1
HILDEBRANDO;37;1
JADIR;37;1
LINDOLFO;37;1
MARIZETE;37;1
NAZARE;37;1
RAPHAEL;37;1
ROSIMAR;37;1
SILVINA;37;1
TOMAZ;37;1
VALQUIRIA;37;1
BENVINDA;36;1
CLEMENCIA;36;1
CONSTANTINO;36;1
DAVINA;36;1
DEISE;36;1
DORA;36;1
ELENICE;36;1
IVALDO;36;1
JACINTA;36;1
JOSAFA;36;1
LOURIVALDO;36;1
LUCIMARA;36;1
MAGALI;36;1
MARIVALDO;36;1
VALENTIM;36;1
ADMILSON;35;1
ALAYDE;35;1
ALMERINDO;35;1
CASSIANO;35;1
DIONIZIO;35;1
DORACI;35;1
ERIKA;35;1
GENOVEVA;35;1
GISLAINE;35;1
IVANETE;35;1
JESUINA;35;1
MANOELINA;35;1
MARCELA;35;1
MATHILDE;35;1
MEIRE;35;1
NOE;35;1
ODILA;35;1
SANDOVAL;35;1
SENHORINHA;35;1
SILVERIO;35;1
ZULEIDE;35;1
ABIGAIL;34;1
ANGELINO;34;1
ANISIA;34;1
CIRILO;34;1
CRISTOVAO;34;1
ESMERALDO;34;1
GALDINO;34;1
GILDASIO;34;1
HONORIO;34;1
JEREMIAS;34;1
JOSIVALDO;34;1
LEONIDIA;34;1
MÂª;34;1
MAFALDA;34;1
MAGDA;34;1
MAGNO;34;1
NATALICIO;34;1
NERI;34;1
NEY;34;1
UMBELINA;34;1
VALMOR;34;1
WILMAR;34;1
ZEFERINO;34;1
ALAOR;33;1
AMABILE;33;1
CELESTINA;33;1
CLELIA;33;1
CUSTODIA;33;1
ELISETE;33;1
ELZIRA;33;1
ENEAS;33;1
ESTANISLAU;33;1
GLAUCIA;33;1
HELIA;33;1
HERCILIO;33;1
JOILSON;33;1
JOVENTINA;33;1
KARINA;33;1
LEONORA;33;1
LORIVAL;33;1
LURDES;33;1
MARGARETH;33;1
MOYSES;33;1
PALMYRA;33;1
ROBERVAL;33;1
SAULO;33;1
SOFIA;33;1
TEODORA;33;1
VALERIO;33;1
VANUSA;33;1
YARA;33;1
YASMIN;33;1
ALCIONE;32;1
AMAURY;32;1
ANDREZA;32;1
AYRTON;32;1
BENJAMIM;32;1
BRASILINA;32;1
EDILEUZA;32;1
EUZEBIO;32;1
FLORENTINO;32;1
JOICE;32;1
JOSINO;32;1
LEONILDO;32;1
RAYMUNDA;32;1
SATURNINO;32;1
UBIRATAN;32;1
WELINGTON;32;1
ZORAIDE;32;1
ADEILDO;31;1
ADOLPHO;31;1
AIDA;31;1
ALONSO;31;1
BRAULIO;31;1
BRENDA;31;1
DEVANIR;31;1
ELOY;31;1
LAIS;31;1
NELY;31;1
OMAR;31;1
ROZA;31;1
TALITA;31;1
ALAIR;30;1
ALBA;30;1
ALDEMIR;30;1
ALEXANDER;30;1
ANIZIA;30;1
ANTERO;30;1
ARGENTINA;30;1
